"id","name","slug","brand","category","strain","thc","cbd","lab_test"
"8822","Blue Cheese - Oil","golden-xtrx-blue-cheese-oil","Golden XTRX","Concentrate,Oil,","Blue Cheese",,,
"8823","Afgoo (Afgooey / Afghooey) - Oil","golden-xtrx-afgoo-afgooey-afghooey-oil","Golden XTRX","Concentrate,Oil,","Afgoo (Afgooey / Afghooey)",,,
"8824","Fruitloops - Kief","unknown-producer-fruitloops-kief","Unknown Producer","Concentrate,Kief,","Fruitloops",,,
"8825","Lucid Dream - Vaporizer Cartridge","evolvd-lucid-dream-vaporizer-cartridge","Evolvd","Vapes,Vape Cartidge,","Lucid Dream",,,
"8826","Lucid Dream - Crumble","evolvd-lucid-dream-crumble","Evolvd","Concentrate,Crumble,Wax,","Lucid Dream",,,
"8827","Somalicious - Vaporizer Cartridge","evolvd-somalicious-vaporizer-cartridge","Evolvd","Vapes,Vape Cartidge,","Somalicious",,,
"8828","Blue Widow - Shatter","lallipop-extract-blue-widow-shatter","Lallipop Extract","Concentrate,Shatter,","Blue Widow",,,
"8829","Rare Dankness #1 - Shatter","lallipop-extract-rare-dankness-1-shatter","Lallipop Extract","Concentrate,Shatter,","Rare Dankness #1",,,
"8830","The White - Shatter","lallipop-extract-the-white-shatter","Lallipop Extract","Concentrate,Shatter,","The White",,,
"8831","Lemon Skunk (DNA) - Shatter","lallipop-extract-lemon-skunk-dna-shatter","Lallipop Extract","Concentrate,Shatter,","Lemon Skunk (DNA)",,,
"8832","Skywalker OG - Shatter","lallipop-extract-skywalker-og-shatter","Lallipop Extract","Concentrate,Shatter,","Skywalker OG",,,
"8833","The White Train - Oil","eco-firma-farms-the-white-train-oil","Eco Firma Farms","Concentrate,Oil,","The White Train",,,
"8834","Shishka VooDoo - Oil","eco-firma-farms-shishka-voodoo-oil","Eco Firma Farms","Concentrate,Oil,","Shishka VooDoo",,,
"8835","Pennywise - Wax","eco-firma-farms-pennywise-wax","Eco Firma Farms","Concentrate,Wax,","Pennywise",,,
"8836","Lucid Dream - Oil","eco-firma-farms-lucid-dream-oil","Eco Firma Farms","Concentrate,Oil,","Lucid Dream",,,
"8837","Lucid Dream - Crumble","eco-firma-farms-lucid-dream-crumble","Eco Firma Farms","Concentrate,Crumble,Wax,","Lucid Dream",,,
"8838","Lavender & LA Confidential - Wax","eco-firma-farms-lavender-la-confidential-wax","Eco Firma Farms","Concentrate,Wax,","Lavender & LA Confidential",,,
"8839","LA Confidential - Wax","eco-firma-farms-la-confidential-wax","Eco Firma Farms","Concentrate,Wax,","LA Confidential",,,
"8840","LA Confidential - Oil","eco-firma-farms-la-confidential-oil","Eco Firma Farms","Concentrate,Oil,","LA Confidential",,,
"8841","Headband - Oil","eco-firma-farms-headband-oil","Eco Firma Farms","Concentrate,Oil,","Headband",,,
"8842","Blue Magoo - Oil","eco-firma-farms-blue-magoo-oil","Eco Firma Farms","Concentrate,Oil,","Blue Magoo",,,
"8843","Alaskan Matanuska Thunderfuck - Oil","eco-firma-farms-alaskan-matanuska-thunderfuck-oil","Eco Firma Farms","Concentrate,Oil,","Alaskan Matanuska Thunderfuck",,,
"8844","Tree Base Klear - Oil","tree-base-klear-tree-base-klear-oil","Tree Base Klear","Concentrate,Oil,","Tree Base Klear",,,
"8845","U Dub (UW) - Oil","easy-valley-u-dub-uw-oil","Easy Valley","Concentrate,Oil,","U Dub (UW)",,,
"8846","Grapefruit - Oil","easy-valley-grapefruit-oil","Easy Valley","Concentrate,Oil,","Grapefruit",,,
"8847","Granddaddy Skunk - Oil","easy-valley-granddaddy-skunk-oil","Easy Valley","Concentrate,Oil,","Granddaddy Skunk",,,
"8848","Goo - Oil","easy-valley-goo-oil","Easy Valley","Concentrate,Oil,","Goo",,,
"8849","Daydream (Sativa Seedbank) - Oil","easy-valley-daydream-sativa-seedbank-oil","Easy Valley","Concentrate,Oil,","Daydream (Sativa Seedbank)",,,
"8850","Black Cherry Soda - Oil","easy-valley-black-cherry-soda-oil","Easy Valley","Concentrate,Oil,","Black Cherry Soda",,,
"8851","Burmese Kush (BuKu) - Oil","easy-valley-burmese-kush-buku-oil","Easy Valley","Concentrate,Oil,","Burmese Kush (BuKu)",,,
"8852","Girl Scout Cookies - Oil","diamond-canna-girl-scout-cookies-oil","Diamond Canna","Concentrate,Oil,","Girl Scout Cookies",,,
"8853","Gorilla Glue #4 - Oil","diamond-canna-gorilla-glue-4-oil","Diamond Canna","Concentrate,Oil,","Gorilla Glue #4",,,
"8854","Fire OG - Shatter","diamond-extracts-fire-og-shatter","Diamond Extracts","Concentrate,Shatter,","Fire OG",,,
"8855","Jack Herer - Wax","dab-society-extracts-jack-herer-wax","Dab Society Extracts","Concentrate,Wax,","Jack Herer",,,
"8856","Girl Scout Cookies - Oil","dab-society-extracts-girl-scout-cookies-oil","Dab Society Extracts","Concentrate,Oil,","Girl Scout Cookies",,,
"8857","Banana Kush & Blackberry Kush - Oil","dab-society-extracts-banana-kush-blackberry-kush-oil","Dab Society Extracts","Concentrate,Oil,","Banana Kush & Blackberry Kush",,,
"8858","Alpine Star - Oil","dab-city-alpine-star-oil","Dab City","Concentrate,Oil,","Alpine Star",,,
"8859","Lemon Haze - Shatter","stuckup-extracts-lemon-haze-shatter","StuckUp Extracts","Concentrate,Shatter,","Lemon Haze",,,
"8860","Dablicator - Oil","exquisite-cannabis-oils-dablicator-oil","Exquisite Cannabis Oils","Concentrate,Oil,","Dablicator",,,
"8861","Gorilla Glue #4 - Oil","original-nectar-gorilla-glue-4-oil","Original Nectar","Concentrate,Oil,","Gorilla Glue #4",,,
"8862","Super Lemon Haze - Wax","710-labs-super-lemon-haze-wax","710 Labs","Concentrate,Wax,","Super Lemon Haze",,,
"8863","Strawberry Cough x Mendo Breath - Water Hash","unknown-producer-strawberry-cough-x-mendo-breath-water-hash","Unknown Producer","Concentrate,Bubble Hash,","Strawberry Cough x Mendo Breath",,,
"8864","Sour Lopez - Shatter","unknown-producer-sour-lopez-shatter","Unknown Producer","Concentrate,Shatter,","Sour Lopez",,,
"8865","Purple Alien OG Kush - Shatter","unknown-producer-purple-alien-og-kush-shatter","Unknown Producer","Concentrate,Shatter,","Purple Alien OG Kush",,,
"8866","Mango Kush - Water Hash","nativ-mango-kush-water-hash","Nativ","Concentrate,Bubble Hash,","Mango Kush",,,
"8867","Griselda Blanco - Water Hash","nativ-griselda-blanco-water-hash","Nativ","Concentrate,Bubble Hash,","Griselda Blanco",,,
"8868","Tahoe OG Kush - Water Hash","nativ-tahoe-og-kush-water-hash","Nativ","Concentrate,Bubble Hash,","Tahoe OG Kush",,,
"8869","Sapphire Star - Water Hash","unknown-producer-sapphire-star-water-hash","Unknown Producer","Concentrate,Bubble Hash,","Sapphire Star",,,
"8870","Green Crack - Wax","nameless-genetics-green-crack-wax","Nameless Genetics","Concentrate,Wax,","Green Crack",,,
"8871","OG Kush - Wax","nameless-genetics-og-kush-wax","Nameless Genetics","Concentrate,Wax,","OG Kush",,,
"8872","Louis XIII OG - Wax","nameless-genetics-louis-xiii-og-wax","Nameless Genetics","Concentrate,Wax,","Louis XIII OG",,,
"8873","Mega Wellness OG - Wax","nameless-genetics-mega-wellness-og-wax","Nameless Genetics","Concentrate,Wax,","Mega Wellness OG",,,
"8874","White Fire OG (WiFi OG) - Wax","bamf-extractions-white-fire-og-wifi-og-wax","BAMF Extractions","Concentrate,Wax,","White Fire OG (WiFi OG)",,,
"8875","King Congo - Shatter","dab-city-king-congo-shatter","Dab City","Concentrate,Shatter,","King Congo",,,
"8876","Grape Jelly - Oil","dab-city-grape-jelly-oil","Dab City","Concentrate,Oil,","Grape Jelly",,,
"8877","Girl Scout Cookies - Oil","dab-city-girl-scout-cookies-oil","Dab City","Concentrate,Oil,","Girl Scout Cookies",,,
"8878","Fire OG Kush - Oil","dab-city-fire-og-kush-oil","Dab City","Concentrate,Oil,","Fire OG Kush",,,
"8879","Blue Dream - Shatter","dab-city-blue-dream-shatter","Dab City","Concentrate,Shatter,","Blue Dream",,,
"8880","Spirit in the Sky - Shatter","cultivated-industries-spirit-in-the-sky-shatter","Cultivated Industries","Concentrate,Shatter,","Spirit in the Sky",,,
"8881","Skunk - Shatter","cultivated-industries-skunk-shatter","Cultivated Industries","Concentrate,Shatter,","Skunk",,,
"8882","Sensi Star - Oil","cultivated-industries-sensi-star-oil","Cultivated Industries","Concentrate,Oil,","Sensi Star",,,
"8883","Lemon Skunk (DNA) - Shatter","cultivated-industries-lemon-skunk-dna-shatter","Cultivated Industries","Concentrate,Shatter,","Lemon Skunk (DNA)",,,
"8884","Citrix - Shatter","cultivated-industries-citrix-shatter","Cultivated Industries","Concentrate,Shatter,","Citrix",,,
"8885","Blue Race Fuel - Shatter","cultivated-industries-blue-race-fuel-shatter","Cultivated Industries","Concentrate,Shatter,","Blue Race Fuel",,,
"8886","Bay 11 - Shatter","cultivated-industries-bay-11-shatter","Cultivated Industries","Concentrate,Shatter,","Bay 11",,,
"8887","Agent Orange - Shatter","cultivated-industries-agent-orange-shatter","Cultivated Industries","Concentrate,Shatter,","Agent Orange",,,
"8888","OG Kush - Shatter","crs-pharms-og-kush-shatter","CRS Pharms","Concentrate,Shatter,","OG Kush",,,
"8889","Matanuska Thunder - Shatter","crs-pharms-matanuska-thunder-shatter","CRS Pharms","Concentrate,Shatter,","Matanuska Thunder",,,
"8890","Critical Mass - Oil","delta-9-products-critical-mass-oil","Delta 9 Products","Concentrate,Oil,","Critical Mass",,,
"8891","White Water - Oil","delta-9-products-white-water-oil","Delta 9 Products","Concentrate,Oil,","White Water",,,
"8892","Purple Urkle - Oil","the-co2-company-purple-urkle-oil","The CO2 Company","Concentrate,Oil,","Purple Urkle",,,
"8893","CBD Sap - Oil","the-co2-company-cbd-sap-oil","The CO2 Company","Concentrate,Oil,","CBD Sap",,,
"8894","CBD Critical Mass - Oil","the-co2-company-cbd-critical-mass-oil","The CO2 Company","Concentrate,Oil,","CBD Critical Mass",,,
"8895","Cinex - Kief","unknown-producer-cinex-kief","Unknown Producer","Concentrate,Kief,","Cinex",,,
"8896","Sour Diesel - Shatter","cascade-extracts-sour-diesel-shatter","Cascade Extracts","Concentrate,Shatter,","Sour Diesel",,,
"8897","Gorilla Glue #4 - Shatter","cascade-extracts-gorilla-glue-4-shatter","Cascade Extracts","Concentrate,Shatter,","Gorilla Glue #4",,,
"8898","Chocolate Chunk - Shatter","cascade-extracts-chocolate-chunk-shatter","Cascade Extracts","Concentrate,Shatter,","Chocolate Chunk",,,
"8899","Blackberry Kush - Shatter","cascade-extracts-blackberry-kush-shatter","Cascade Extracts","Concentrate,Shatter,","Blackberry Kush",,,
"8900","Unknown - Water Hash","unknown-producer-unknown-water-hash","Unknown Producer","Concentrate,Bubble Hash,","Unknown",,,
"8901","Skywalker - Shatter","breaking-buds-skywalker-shatter","Breaking Buds","Concentrate,Shatter,","Skywalker",,,
"8902","T4 (T-4) - Shatter","roil-extracts-t4-t-4-shatter","Roil Extracts","Concentrate,Shatter,","T4 (T-4)",,,
"8903","Shipwreck - Shatter","roil-extracts-shipwreck-shatter","Roil Extracts","Concentrate,Shatter,","Shipwreck",,,
"8904","LA Confidential - Shatter","roil-extracts-la-confidential-shatter","Roil Extracts","Concentrate,Shatter,","LA Confidential",,,
"8905","Dutch Passion - Shatter","roil-extracts-dutch-passion-shatter","Roil Extracts","Concentrate,Shatter,","Dutch Passion",,,
"8906","Blue Magic - Shatter","roil-extracts-blue-magic-shatter","Roil Extracts","Concentrate,Shatter,","Blue Magic",,,
"8907","Agent Orange - Shatter","golden-ticket-extracts-agent-orange-shatter","Golden Ticket Extracts","Concentrate,Shatter,","Agent Orange",,,
"8908","Bubblegum Kush - Wax","unknown-producer-bubblegum-kush-wax","Unknown Producer","Concentrate,Wax,","Bubblegum Kush",,,
"8909","Potent Pineapple - Oil","the-clear-concentrate-potent-pineapple-oil","The Clear Concentrate","Concentrate,Oil,","Potent Pineapple",,,
"8910","EFF Cancer - Wax","endocann-emerald-hearts-eff-cancer-wax","Endocann / Emerald Hearts","Concentrate,Wax,","EFF Cancer",,,
"8911","Pure CBD - Wax","unknown-producer-pure-cbd-wax","Unknown Producer","Concentrate,Wax,","Pure CBD",,,
"8912","3D - Wax","unknown-producer-3d-wax","Unknown Producer","Concentrate,Wax,","3D",,,
"8913","Romulan Grapefruit - Oil","loud-pack-extractions-romulan-grapefruit-oil","Loud Pack Extractions","Concentrate,Oil,","Romulan Grapefruit",,,
"8914","Trainwreck - Oil","loud-pack-extractions-trainwreck-oil","Loud Pack Extractions","Concentrate,Oil,","Trainwreck",,,
"8915","3 Kings - Oil","loud-pack-extractions-3-kings-oil","Loud Pack Extractions","Concentrate,Oil,","3 Kings",,,
"8916","Cali Orange - Oil","loud-pack-extractions-cali-orange-oil","Loud Pack Extractions","Concentrate,Oil,","Cali Orange",,,
"8917","Jack Herer - Oil","loud-pack-extractions-jack-herer-oil","Loud Pack Extractions","Concentrate,Oil,","Jack Herer",,,
"8918","Skywalker - Oil","loud-pack-extractions-skywalker-oil","Loud Pack Extractions","Concentrate,Oil,","Skywalker",,,
"8919","Allen Wrench - Wax","unknown-producer-allen-wrench-wax","Unknown Producer","Concentrate,Wax,","Allen Wrench",,,
"8920","The True OG - Wax","west-coast-cure-the-true-og-wax","West Coast Cure","Concentrate,Wax,","The True OG",,,
"8921","Holy Grail Kush - Wax","west-coast-cure-holy-grail-kush-wax","West Coast Cure","Concentrate,Wax,","Holy Grail Kush",,,
"8922","Blue Dot (MGB - Medical Grade Bud) - Wax","west-coast-cure-blue-dot-mgb-medical-grade-bud-wax","West Coast Cure","Concentrate,Wax,","Blue Dot (MGB - Medical Grade Bud)",,,
"8923","Green Crack - Crumble","living-extracts-green-crack-crumble","Living Extracts","Concentrate,Crumble,Wax,","Green Crack",,,
"8924","Kryptonite - Crumble","living-extracts-kryptonite-crumble","Living Extracts","Concentrate,Crumble,Wax,","Kryptonite",,,
"8925","Nectar Injector - Strawberry Mojito - Oil","waxman-concentrates-nectar-injector-strawberry-mojito-oil","Waxman Concentrates","Concentrate,Oil,","Nectar Injector - Strawberry Mojito",,,
"8926","Classic Series - Sativa - Vaporizer Cartridge","green-wave-phytomedications-classic-series-sativa-vaporizer-cartridge","Green Wave Phytomedications","Vapes,Vape Cartidge,","Classic Series - Sativa",,,
"8927","Classic Series - Indica - Vaporizer Cartridge","green-wave-phytomedications-classic-series-indica-vaporizer-cartridge","Green Wave Phytomedications","Vapes,Vape Cartidge,","Classic Series - Indica",,,
"8928","Beach Breaks - Wipeout Watermelon - Vaporizer Cartridge","green-wave-phytomedications-beach-breaks-wipeout-watermelon-vaporizer-cartridge","Green Wave Phytomedications","Vapes,Vape Cartidge,","Beach Breaks - Wipeout Watermelon",,,
"8929","Beach Breaks - Orange Cream Cruiser - Vaporizer Cartridge","green-wave-phytomedications-beach-breaks-orange-cream-cruiser-vaporizer-cartridge","Green Wave Phytomedications","Vapes,Vape Cartidge,","Beach Breaks - Orange Cream Cruiser",,,
"8930","Beach Breaks - Endless Summer Strawberry - Vaporizer Cartridge","green-wave-phytomedications-beach-breaks-endless-summer-strawberry-vaporizer-cartridge","Green Wave Phytomedications","Vapes,Vape Cartidge,","Beach Breaks - Endless Summer Strawberry",,,
"8931","Beach Breaks - Ground Swell Grape - Vaporizer Cartridge","green-wave-phytomedications-beach-breaks-ground-swell-grape-vaporizer-cartridge","Green Wave Phytomedications","Vapes,Vape Cartidge,","Beach Breaks - Ground Swell Grape",,,
"8932","Girl Scout Cookies - Crumble","living-extracts-girl-scout-cookies-crumble","Living Extracts","Concentrate,Crumble,Wax,","Girl Scout Cookies",,,
"8933","Enigma OG - Crumble","living-extracts-enigma-og-crumble","Living Extracts","Concentrate,Crumble,Wax,","Enigma OG",,,
"8934","Widowmaker - Wax","living-extracts-widowmaker-wax","Living Extracts","Concentrate,Wax,","Widowmaker",,,
"8935","Blue Dream - Crumble","living-extracts-blue-dream-crumble","Living Extracts","Concentrate,Crumble,Wax,","Blue Dream",,,
"8936","Red Apple - Oil","the-clear-concentrate-red-apple-oil","The Clear Concentrate","Concentrate,Oil,","Red Apple",,,
"8937","Indica - Oil","absolutextracts-indica-oil","AbsoluteXtracts","Concentrate,Oil,","Indica",,,
"8938","Sativa - Oil","absolutextracts-sativa-oil","AbsoluteXtracts","Concentrate,Oil,","Sativa",,,
"8939","Blue Razz - Oil","the-clear-concentrate-blue-razz-oil","The Clear Concentrate","Concentrate,Oil,","Blue Razz",,,
"8940","Hazy Train - Wax","living-extracts-hazy-train-wax","Living Extracts","Concentrate,Wax,","Hazy Train",,,
"8941","Jack Herer - Wax","couch-glue-concentrates-jack-herer-wax","Couch Glue Concentrates","Concentrate,Wax,","Jack Herer",,,
"8942","Kryptonite - Wax","living-extracts-kryptonite-wax","Living Extracts","Concentrate,Wax,","Kryptonite",,,
"8943","Tahoe Dream - Shatter","gold-coast-extracts-tahoe-dream-shatter","Gold Coast Extracts","Concentrate,Shatter,","Tahoe Dream",,,
"8944","Pineapple Tahoe - Shatter","gold-coast-extracts-pineapple-tahoe-shatter","Gold Coast Extracts","Concentrate,Shatter,","Pineapple Tahoe",,,
"8945","Pure THC - Oil","kushy-punch-pure-thc-oil","Kushy Punch","Concentrate,Oil,","Pure THC","80%",,
"8946","RSO - Oil","unknown-producer-rso-oil","Unknown Producer","Concentrate,Oil,","RSO",,,
"8947","Great White Shark (Peacemaker) - Kief","unknown-producer-great-white-shark-peacemaker-kief","Unknown Producer","Concentrate,Kief,","Great White Shark (Peacemaker)",,,
"8948","High CBD - Oil","popnaturals-high-cbd-oil","PopNaturals","Concentrate,Oil,","High CBD",,,
"8949","San Fernando Valley OG (SFV OG) - Vaporizer Disposable","juju-san-fernando-valley-og-sfv-og-vaporizer-disposable","JuJu","Vapes,Disposable Vape,","San Fernando Valley OG (SFV OG)",,,
"8950","Tangerine Dream - Shatter","gold-coast-extracts-tangerine-dream-shatter","Gold Coast Extracts","Concentrate,Shatter,","Tangerine Dream",,,
"8951","Glue OG - Shatter","gold-coast-extracts-glue-og-shatter","Gold Coast Extracts","Concentrate,Shatter,","Glue OG",,,
"8952","Crown OG - Shatter","gold-coast-naturals-crown-og-shatter","Gold Coast Naturals","Concentrate,Shatter,","Crown OG",,,
"8953","Florida OG - Shatter","loud-pack-extractions-florida-og-shatter","Loud Pack Extractions","Concentrate,Shatter,","Florida OG",,,
"8954","Jack Herer - Vaporizer Cartridge","bumblebee-jack-herer-vaporizer-cartridge","Bumblebee","Vapes,Vape Cartidge,","Jack Herer","73.90%","3.11%",
"8955","Hybrid - Vaporizer Cartridge","popnaturals-hybrid-vaporizer-cartridge","PopNaturals","Vapes,Vape Cartidge,","Hybrid",,,
"8956","Sativa - Vaporizer Cartridge","popnaturals-sativa-vaporizer-cartridge","PopNaturals","Vapes,Vape Cartidge,","Sativa",,,
"8957","18:1 CBD - Vaporizer Cartridge","care-by-design-18-1-cbd-vaporizer-cartridge","Care By Design","Vapes,Vape Cartidge,","18:1 CBD",,,
"8958","Indica - Vaporizer Cartridge","popnaturals-indica-vaporizer-cartridge","PopNaturals","Vapes,Vape Cartidge,","Indica",,,
"8959","High CBD - Vaporizer Cartridge","popnaturals-high-cbd-vaporizer-cartridge","PopNaturals","Vapes,Vape Cartidge,","High CBD",,,
"8960","Neptune OG - Water Hash","unknown-producer-neptune-og-water-hash","Unknown Producer","Concentrate,Bubble Hash,","Neptune OG",,,
"8961","RSO - Oil","pirate-candy-rso-oil","Pirate Candy","Concentrate,Oil,","RSO",,,
"8962","Black Widow - Wax","unknown-producer-black-widow-wax","Unknown Producer","Concentrate,Wax,","Black Widow",,,
"8963","Girl Scout Cookies - Wax","living-extracts-girl-scout-cookies-wax","Living Extracts","Concentrate,Wax,","Girl Scout Cookies",,,
"8964","Sour Diesel - Vaporizer Cartridge","pur-xtracts-sour-diesel-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Sour Diesel",,,
"8965","Superman OG - Water Hash","unknown-producer-superman-og-water-hash","Unknown Producer","Concentrate,Bubble Hash,","Superman OG",,,
"8966","Blueberry - Vaporizer Cartridge","pur-xtracts-blueberry-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Blueberry",,,
"8967","Purple Romulan - Water Hash","emerald-cup-concentrates-purple-romulan-water-hash","Emerald Cup Concentrates","Concentrate,Bubble Hash,","Purple Romulan",,,
"8968","Louis XIII OG - Wax","ivxx-louis-xiii-og-wax","IVXX","Concentrate,Wax,","Louis XIII OG",,,
"8969","Micky Kush - Hash","unknown-producer-micky-kush-hash","Unknown Producer",,"Micky Kush",,,
"8970","Kush Dream - Water Hash","unknown-producer-kush-dream-water-hash","Unknown Producer","Concentrate,Bubble Hash,","Kush Dream",,,
"8971","Tangie - Water Hash","jetty-extracts-tangie-water-hash","Jetty Extracts","Concentrate,Bubble Hash,","Tangie",,,
"8972","Kushage - Water Hash","nativ-kushage-water-hash","Nativ","Concentrate,Bubble Hash,","Kushage",,,
"8973","The True OG - Water Hash","jetty-extracts-the-true-og-water-hash","Jetty Extracts","Concentrate,Bubble Hash,","The True OG",,,
"8974","Pineapple Kush - Water Hash","jetty-extracts-pineapple-kush-water-hash","Jetty Extracts","Concentrate,Bubble Hash,","Pineapple Kush",,,
"8975","Funky Bitch (Golden Goat) - Wax","blackleaf-funky-bitch-golden-goat-wax","BlackLeaf","Concentrate,Wax,","Funky Bitch (Golden Goat)",,,
"8976","Trinity x Jack Herer - Shatter","710-labs-trinity-x-jack-herer-shatter","710 Labs","Concentrate,Shatter,","Trinity x Jack Herer",,,
"8977","Trinity - Shatter","710-labs-trinity-shatter","710 Labs","Concentrate,Shatter,","Trinity",,,
"8978","Strawberry Cough - Shatter","710-labs-strawberry-cough-shatter","710 Labs","Concentrate,Shatter,","Strawberry Cough",,,
"8979","Animal Cookies - Wax","ivxx-animal-cookies-wax","IVXX","Concentrate,Wax,","Animal Cookies",,,
"8980","White Fire OG (WiFi OG) - Vaporizer Cartridge","pur-xtracts-white-fire-og-wifi-og-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","White Fire OG (WiFi OG)",,,
"8981","OG Kush - Water Hash","emerald-cup-concentrates-og-kush-water-hash","Emerald Cup Concentrates","Concentrate,Bubble Hash,","OG Kush",,,
"8982","Super Silver OG - Water Hash","emerald-cup-concentrates-super-silver-og-water-hash","Emerald Cup Concentrates","Concentrate,Bubble Hash,","Super Silver OG",,,
"8983","Bruce Banner - Oil","original-nectar-bruce-banner-oil","Original Nectar","Concentrate,Oil,","Bruce Banner",,,
"8984","Jah Goo - Water Hash","emerald-cup-concentrates-jah-goo-water-hash","Emerald Cup Concentrates","Concentrate,Bubble Hash,","Jah Goo",,,
"8985","Sour Diesel - Water Hash","emerald-cup-concentrates-sour-diesel-water-hash","Emerald Cup Concentrates","Concentrate,Bubble Hash,","Sour Diesel",,,
"8986","Sativa - Oil","dab-lab-sativa-oil","Dab Lab","Concentrate,Oil,","Sativa",,,
"8987","Indica - Oil","dab-lab-indica-oil","Dab Lab","Concentrate,Oil,","Indica",,,
"8988","Super Lemon Haze - Vaporizer Cartridge","pur-xtracts-super-lemon-haze-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Super Lemon Haze",,,
"8989","Granddaddy Purple (GDP) - Vaporizer Cartridge","pur-xtracts-granddaddy-purple-gdp-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Granddaddy Purple (GDP)",,,
"8990","Cheese Quake - Oil","stoned-kitty-cheese-quake-oil","Stoned Kitty","Concentrate,Oil,","Cheese Quake",,,
"8991","Banana Kush - Wax","panacea-farm-banana-kush-wax","Panacea Farm","Concentrate,Wax,","Banana Kush",,,
"8992","Orange Creamsicle - Vaporizer Cartridge","moxie-seeds-extracts-orange-creamsicle-vaporizer-cartridge","Moxie Seeds & Extracts","Vapes,Vape Cartidge,","Orange Creamsicle",,,
"8993","Girl Scout Cookies - Wax","dixie-elixirs-edibles-girl-scout-cookies-wax","Dixie Elixirs & Edibles","Concentrate,Wax,","Girl Scout Cookies",,,
"8994","Willy Wonka - Wax","sd-extracts-willy-wonka-wax","SD Extracts","Concentrate,Wax,","Willy Wonka",,,
"8995","Blackberry - Wax","sd-extracts-blackberry-wax","SD Extracts","Concentrate,Wax,","Blackberry",,,
"8996","Lemon OG Kush - Wax","dixie-elixirs-edibles-lemon-og-kush-wax","Dixie Elixirs & Edibles","Concentrate,Wax,","Lemon OG Kush",,,
"8997","Gorilla Glue #4 - Wax","dixie-elixirs-edibles-gorilla-glue-4-wax","Dixie Elixirs & Edibles","Concentrate,Wax,","Gorilla Glue #4",,,
"8998","SFV OG - Hash","unknown-producer-sfv-og-hash","Unknown Producer",,"SFV OG",,,
"8999","Lemon Glue - Wax","dabblicious-extracts-lemon-glue-wax","Dabblicious Extracts","Concentrate,Wax,","Lemon Glue",,,
"9000","White Berry - Wax","dabblicious-extracts-white-berry-wax","Dabblicious Extracts","Concentrate,Wax,","White Berry",,,
"9001","Crazy Cookies - Wax","dabblicious-extracts-crazy-cookies-wax","Dabblicious Extracts","Concentrate,Wax,","Crazy Cookies",,,
"9002","Lemon Skunk x OG - Wax","moxie-seeds-extracts-lemon-skunk-x-og-wax","Moxie Seeds & Extracts","Concentrate,Wax,","Lemon Skunk x OG",,,
"9003","Hybrid - Vaporizer Cartridge","pur-xtracts-hybrid-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Hybrid",,,
"9004","Sativa - Vaporizer Cartridge","pur-xtracts-sativa-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Sativa",,,
"9005","Indica - Vaporizer Cartridge","pur-xtracts-indica-vaporizer-cartridge","PUR Xtracts","Vapes,Vape Cartidge,","Indica",,,
"9006","Pineapple Sutra - Wax","critical-concentrates-pineapple-sutra-wax","CritiCal Concentrates","Concentrate,Wax,","Pineapple Sutra",,,
"9007","Purple Gorilla - Wax","critical-concentrates-purple-gorilla-wax","CritiCal Concentrates","Concentrate,Wax,","Purple Gorilla",,,
"9008","Pure Oil - Hybrid - Vaporizer Cartridge","bhang-pure-oil-hybrid-vaporizer-cartridge","Bhang","Vapes,Vape Cartidge,","Pure Oil - Hybrid",,,
"9009","Pure Oil - Sativa - Vaporizer Cartridge","bhang-pure-oil-sativa-vaporizer-cartridge","Bhang","Vapes,Vape Cartidge,","Pure Oil - Sativa",,,
"9010","Pure Oil - Indica - Vaporizer Cartridge","bhang-pure-oil-indica-vaporizer-cartridge","Bhang","Vapes,Vape Cartidge,","Pure Oil - Indica",,,
"9011","All Natural - Sativa - Vaporizer Cartridge","bhang-all-natural-sativa-vaporizer-cartridge","Bhang","Vapes,Vape Cartidge,","All Natural - Sativa",,,
"9012","All Natural - Indica - Vaporizer Cartridge","bhang-all-natural-indica-vaporizer-cartridge","Bhang","Vapes,Vape Cartidge,","All Natural - Indica",,,
"9013","All Natural - Hybrid - Vaporizer Cartridge","bhang-all-natural-hybrid-vaporizer-cartridge","Bhang","Vapes,Vape Cartidge,","All Natural - Hybrid",,,
"9014","Tiger Blood OG - Wax","unknown-producer-tiger-blood-og-wax","Unknown Producer","Concentrate,Wax,","Tiger Blood OG",,,
"9015","Green Dream - Hash","unknown-producer-green-dream-hash","Unknown Producer",,"Green Dream",,,
"9016","Unknown - Kief","unknown-producer-unknown-kief","Unknown Producer","Concentrate,Kief,","Unknown",,,
"9017","Tiger Blood OG - Hash","unknown-producer-tiger-blood-og-hash","Unknown Producer",,"Tiger Blood OG",,,
"9018","Honey Bun - Crumble","unknown-producer-honey-bun-crumble","Unknown Producer","Concentrate,Crumble,Wax,","Honey Bun",,,
